"RELATIONSHIP_ID","FROM_VOCABULARY_ID","FROM_DOMAIN_ID","FROM_STANDARD_CONCEPT","TO_VOCABULARY_ID","TO_DOMAIN_ID","TO_STANDARD_CONCEPT","RELATIONSHIP_COUNT"
"AMP of","SNOMED","Device","S","SNOMED","Device","S",86729
"AMP of","SNOMED","Device","S","SNOMED","Device",NA,101
"AMP of","SNOMED","Device","S","SNOMED","Drug",NA,2411
"AMP of","SNOMED","Device",NA,"SNOMED","Device",NA,284
"AMP of","SNOMED","Device",NA,"SNOMED","Drug",NA,69
"AMP of","SNOMED","Drug",NA,"SNOMED","Device","S",8
"AMP of","SNOMED","Drug",NA,"SNOMED","Device",NA,46
"AMP of","SNOMED","Drug",NA,"SNOMED","Drug",NA,66414
"AMP of","SNOMED","Observation","S","SNOMED","Drug",NA,9
"AMP of","SNOMED","Unit",NA,"SNOMED","Device",NA,1
"AMP restr ind of","SNOMED","Drug",NA,"SNOMED","Device","S",172347
"AMP restr ind of","SNOMED","Drug",NA,"SNOMED","Device",NA,2
"AMP restr ind of","SNOMED","Drug",NA,"SNOMED","Drug",NA,118604
"AMP restr ind of","SNOMED","Drug",NA,"SNOMED","Observation","S",8
"ARP of","SNOMED","Drug",NA,"SNOMED","Drug",NA,75
"ATC - RxNorm","ATC","Drug","C","RxNorm","Drug","S",9512
"ATC - RxNorm","ATC","Drug","C","RxNorm","Drug",NA,115
"ATC - RxNorm","ATC","Drug","C","RxNorm Extension","Drug","S",13274
"ATC - RxNorm","ATC","Drug","C","RxNorm Extension","Drug",NA,6
"ATC - RxNorm pr lat","ATC","Drug","C","RxNorm","Drug","S",4493
"ATC - RxNorm pr lat","ATC","Drug","C","RxNorm","Drug",NA,34
"ATC - RxNorm pr lat","ATC","Drug","C","RxNorm Extension","Drug","S",336
"ATC - RxNorm pr lat","ATC","Drug","C","RxNorm Extension","Drug",NA,11
"ATC - RxNorm pr up","ATC","Drug","C","RxNorm","Drug","S",1276
"ATC - RxNorm pr up","ATC","Drug","C","RxNorm","Drug",NA,9
"ATC - RxNorm pr up","ATC","Drug","C","RxNorm Extension","Drug","S",90
"ATC - RxNorm pr up","ATC","Drug","C","RxNorm Extension","Drug",NA,7
"ATC - RxNorm sec lat","ATC","Drug","C","RxNorm","Drug","S",1023
"ATC - RxNorm sec lat","ATC","Drug","C","RxNorm","Drug",NA,2
"ATC - RxNorm sec lat","ATC","Drug","C","RxNorm Extension","Drug","S",10
"ATC - RxNorm sec lat","ATC","Drug","C","RxNorm Extension","Drug",NA,1
"ATC - RxNorm sec up","ATC","Drug","C","RxNorm","Drug","S",25263
"ATC - RxNorm sec up","ATC","Drug","C","RxNorm","Drug",NA,26
"ATC - RxNorm sec up","ATC","Drug","C","RxNorm Extension","Drug","S",611
"ATC - RxNorm sec up","ATC","Drug","C","RxNorm Extension","Drug",NA,2
"ATC - SNOMED eq","ATC","Drug","C","SNOMED","Device","S",5
"ATC - SNOMED eq","ATC","Drug","C","SNOMED","Device",NA,1
"ATC - SNOMED eq","ATC","Drug","C","SNOMED","Drug",NA,1999
"ATC - SNOMED eq","ATC","Drug","C","SNOMED","Observation","S",12
"ATC - SNOMED eq","ATC","Drug","C","SNOMED","Observation",NA,3
"ATC - SNOMED eq","ATC","Drug",NA,"SNOMED","Drug",NA,72
"Acc device used by","SNOMED","Device","S","ICD9Proc","Procedure","S",59
"Acc device used by","SNOMED","Device","S","ICD9Proc","Procedure",NA,73
"Acc device used by","SNOMED","Device","S","OPCS4","Procedure","S",116
"Acc device used by","SNOMED","Device","S","SNOMED","Observation","S",1
"Acc device used by","SNOMED","Device","S","SNOMED","Procedure","S",1808
"Acc device used by","SNOMED","Device","S","SNOMED","Procedure",NA,44
"Acc device used by","SNOMED","Device",NA,"SNOMED","Observation","S",1
"Accepted use of","HemOnc","Condition",NA,"HemOnc","Drug",NA,1591
"Accepted use of","HemOnc","Condition",NA,"HemOnc","Procedure",NA,3
"Accepted use of","HemOnc","Condition",NA,"HemOnc","Regimen","S",3002
"Access of","SNOMED","Observation","S","ICD9Proc","Procedure","S",63
"Access of","SNOMED","Observation","S","ICD9Proc","Procedure",NA,92
"Access of","SNOMED","Observation","S","OPCS4","Procedure","S",200
"Access of","SNOMED","Observation","S","SNOMED","Measurement","S",3
"Access of","SNOMED","Observation","S","SNOMED","Measurement",NA,1
"Access of","SNOMED","Observation","S","SNOMED","Observation","S",1
"Access of","SNOMED","Observation","S","SNOMED","Procedure","S",1574
"Access of","SNOMED","Observation","S","SNOMED","Procedure",NA,21
"Active ing of","SNOMED","Device","S","SNOMED","Device","S",4
"Active ing of","SNOMED","Device","S","SNOMED","Drug",NA,2138
"Active ing of","SNOMED","Device","S","SNOMED","Observation",NA,258
"Active ing of","SNOMED","Device",NA,"SNOMED","Drug",NA,17
"Active ing of","SNOMED","Device",NA,"SNOMED","Observation",NA,19
"Active ing of","SNOMED","Drug",NA,"SNOMED","Device","S",10
